iter	Logloss
0	0.6858650474
1	0.6663535966
2	0.6549706756
3	0.6366761443
4	0.6288643966
5	0.6115917704
6	0.5949900029
7	0.5874844887
8	0.5748581952
9	0.5694026084
10	0.5573757166
11	0.5458146279
12	0.5317317466
13	0.520830192
14	0.5129731635
15	0.5027561076
16	0.490281187
17	0.4782643677
18	0.4666855166
19	0.455525444
20	0.4469243003
21	0.4364706015
22	0.4304824118
23	0.4206097301
24	0.4110817824
25	0.4056368103
26	0.3966267792
27	0.3895996508
28	0.3846028093
29	0.3763081774
30	0.3682912055
31	0.3621717023
32	0.3546223013
33	0.3488716733
34	0.3417552947
35	0.336276261
36	0.3308934918
37	0.3289188235
38	0.3224394475
39	0.3161632152
40	0.3100820158
41	0.3053211784
42	0.2995730541
43	0.2968761134
44	0.2913831229
45	0.2860544178
46	0.2808836655
47	0.275864819
48	0.270992103
49	0.2672946572
50	0.2626682394
51	0.2581732299
52	0.253804763
53	0.2495581863
54	0.2454290503
55	0.2414130982
56	0.2375062572
57	0.2337046288
58	0.2300044811
59	0.2264022401
60	0.222894483
61	0.2194779301
62	0.2161494386
63	0.2129059958
64	0.2097447134
65	0.206662821
66	0.2036576614
67	0.2007266845
68	0.197867443
69	0.1950775875
70	0.1923548617
71	0.1896970988
72	0.1871022167
73	0.1845682147
74	0.1820931697
75	0.1796752325
76	0.177312625
77	0.1750036367
78	0.1727466217
79	0.170539996
80	0.1683822349
81	0.1662718703
82	0.1642074881
83	0.1621877262
84	0.1602112722
85	0.1582768612
86	0.1563832736
87	0.1545293338
88	0.1527139078
89	0.1509359017
90	0.14919426
91	0.147487964
92	0.1458160304
93	0.1441775099
94	0.1425714855
95	0.1409970716
96	0.1394534125
97	0.1379396813
98	0.1364550788
99	0.1349988322
