iter	Passed	Remaining
0	10	1039
1	19	938
2	32	1051
3	38	933
4	47	906
5	54	846
6	59	792
7	67	774
8	75	759
9	88	800
10	102	829
11	111	817
12	117	787
13	125	770
14	135	770
15	144	756
16	150	734
17	156	713
18	162	691
19	166	667
20	174	658
21	181	642
22	188	631
23	195	617
24	200	600
25	208	592
26	215	581
27	223	573
28	230	564
29	235	549
30	241	538
31	251	533
32	256	521
33	267	518
34	273	508
35	281	500
36	289	493
37	297	485
38	302	472
39	308	462
40	316	456
41	324	448
42	329	437
43	340	433
44	345	422
45	350	411
46	356	401
47	361	391
48	366	381
49	375	375
50	380	365
51	385	356
52	392	347
53	397	338
54	403	329
55	408	320
56	413	311
57	418	303
58	423	294
59	428	285
60	433	277
61	439	269
62	443	260
63	448	252
64	454	244
65	459	236
66	464	228
67	471	221
68	477	214
69	481	206
70	488	199
71	493	192
72	500	185
73	505	177
74	510	170
75	516	162
76	522	155
77	527	148
78	532	141
79	539	134
80	545	127
81	551	121
82	558	114
83	563	107
84	569	100
85	574	93
86	580	86
87	585	79
88	590	72
89	595	66
90	600	59
91	605	52
92	610	45
93	615	39
94	620	32
95	625	26
96	631	19
97	637	13
98	642	6
99	648	0
